,drug vector,probabilistic score
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,0.22983002154656454
2,0 0 0 0 0 1 0,0.6847019391908068
3,0 0 0 0 0 1 1,0.6847019391908068
4,0 0 0 0 1 0 0,11.21857792674168
5,0 0 0 0 1 0 1,11.620780464448169
6,0 0 0 0 1 1 0,12.362939909025616
7,0 0 0 0 1 1 1,12.362939909025616
8,0 0 0 1 0 0 0,49.006463969356
9,0 0 0 1 0 0 1,49.408666507062485
10,0 0 0 1 0 1 0,50.15082595163993
11,0 0 0 1 0 1 1,50.15082595163993
12,0 0 0 1 1 0 0,62.47546085707446
13,0 0 0 1 1 0 1,64.76897294709121
14,0 0 0 1 1 1 0,68.17333014124969
15,0 0 0 1 1 1 1,68.17333014124969
16,0 0 1 0 0 0 0,6.037826191046205
17,0 0 1 0 0 0 1,6.349054345223845
18,0 0 1 0 0 1 0,6.937993775436917
19,0 0 1 0 0 1 1,6.937993775436917
20,0 0 1 0 1 0 0,16.418482164232703
21,0 0 1 0 1 0 1,16.921235336365815
22,0 0 1 0 1 1 0,17.83576729710318
23,0 0 1 0 1 1 1,17.83576729710318
24,0 0 1 1 0 0 0,50.816375389035194
25,0 0 1 1 0 0 1,51.319128561168306
26,0 0 1 1 0 1 0,52.233660521905676
27,0 0 1 1 0 1 1,52.233660521905676
28,0 0 1 1 1 0 0,63.30380655973187
29,0 0 1 1 1 0 1,65.496768015322
30,0 0 1 1 1 1 0,68.80057457505386
31,0 0 1 1 1 1 1,68.80057457505386
32,0 1 0 0 0 0 0,12.956667464687573
33,0 1 0 0 0 0 1,13.358870002394063
34,0 1 0 0 0 1 0,14.101029446971511
35,0 1 0 0 0 1 1,14.101029446971511
36,0 1 0 0 1 0 0,22.341393344505626
37,0 1 0 0 1 0 1,22.954273401963132
38,0 1 0 0 1 1 0,24.060330380655973
39,0 1 0 0 1 1 1,24.060330380655973
40,0 1 0 1 0 0 0,52.92315058654536
41,0 1 0 1 0 0 1,53.53603064400288
42,0 1 0 1 0 1 0,54.64208762269571
43,0 1 0 1 0 1 1,54.64208762269571
44,0 1 0 1 1 0 0,64.20397414412258
45,0 1 0 1 1 0 1,66.28202058893943
46,0 1 0 1 1 1 0,69.4757002633469
47,0 1 0 1 1 1 1,69.4757002633469
48,0 1 1 0 0 0 0,20.818769451759636
49,0 1 1 0 0 0 1,21.321522623892747
50,0 1 1 0 0 1 0,22.236054584630118
51,0 1 1 0 0 1 1,22.236054584630118
52,0 1 1 0 1 0 0,29.03519272204932
53,0 1 1 0 1 0 1,29.767775915728993
54,0 1 1 0 1 1 0,31.08451041417285
55,0 1 1 0 1 1 1,31.08451041417285
56,0 1 1 1 0 0 0,55.35073018913096
57,0 1 1 1 0 0 1,56.08331338281063
58,0 1 1 1 0 1 0,57.40004788125449
59,0 1 1 1 0 1 1,57.40004788125449
60,0 1 1 1 1 0 0,65.17596361024658
61,0 1 1 1 1 0 1,67.1247306679435
62,0 1 1 1 1 1 0,70.1987072061288
63,0 1 1 1 1 1 1,70.1987072061288
64,1 0 0 0 0 0 0,20.818769451759636
65,1 0 0 0 0 0 1,21.321522623892747
66,1 0 0 0 0 1 0,22.236054584630118
67,1 0 0 0 0 1 1,22.236054584630118
68,1 0 0 0 1 0 0,29.03519272204932
69,1 0 0 0 1 0 1,29.767775915728993
70,1 0 0 0 1 1 0,31.08451041417285
71,1 0 0 0 1 1 1,31.08451041417285
72,1 0 0 1 0 0 0,55.35073018913096
73,1 0 0 1 0 0 1,56.08331338281063
74,1 0 0 1 0 1 0,57.40004788125449
75,1 0 0 1 0 1 1,57.40004788125449
76,1 0 0 1 1 0 0,65.17596361024658
77,1 0 0 1 1 0 1,67.1247306679435
78,1 0 0 1 1 1 0,70.1987072061288
79,1 0 0 1 1 1 1,70.1987072061288
80,1 0 1 0 0 0 0,29.686377783097917
81,1 0 1 0 0 0 1,30.29925784055542
82,1 0 1 0 0 1 0,31.405314819248265
83,1 0 1 0 0 1 1,31.405314819248265
84,1 0 1 0 1 0 0,36.54776155135265
85,1 0 1 0 1 0 1,37.40962413215227
86,1 0 1 0 1 1 0,38.956188652142686
87,1 0 1 0 1 1 1,38.956188652142686
88,1 0 1 1 0 0 0,58.12305482403639
89,1 0 1 1 0 0 1,58.984917404836004
90,1 0 1 1 0 1 0,60.53148192482644
91,1 0 1 1 0 1 1,60.53148192482644
92,1 0 1 1 1 0 0,66.21977495810391
93,1 0 1 1 1 0 1,68.02489825233421
94,1 0 1 1 1 1 0,70.96959540339957
95,1 0 1 1 1 1 1,70.96959540339957
96,1 1 0 0 0 0 0,20.818769451759636
97,1 1 0 0 0 0 1,21.321522623892747
98,1 1 0 0 0 1 0,22.236054584630118
99,1 1 0 0 0 1 1,22.236054584630118
100,1 1 0 0 1 0 0,29.03519272204932
101,1 1 0 0 1 0 1,29.767775915728993
102,1 1 0 0 1 1 0,31.08451041417285
103,1 1 0 0 1 1 1,31.08451041417285
104,1 1 0 1 0 0 0,55.35073018913096
105,1 1 0 1 0 0 1,56.08331338281063
106,1 1 0 1 0 1 0,57.40004788125449
107,1 1 0 1 0 1 1,57.40004788125449
108,1 1 0 1 1 0 0,65.17596361024658
109,1 1 0 1 1 0 1,67.1247306679435
