,drug,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
10,"DRG1,DRG12",0.0,4.5,4.5,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
11,"DRG1,DRG13",0.0,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,1.0,1.0,1.0,1.0
12,"DRG1,DRG14",0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
13,"DRG1,DRG15",0.0,4.5,4.5,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
14,"DRG1,DRG16",0.0,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
15,"DRG1,DRG17",0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
16,"DRG1,DRG18",0.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
17,"DRG1,DRG19",1.0,6.5,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
18,"DRG1,DRG20",0.5,6.5,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,4.5,4.5,4.5,0.5,1.5,1.5,1.5,1.5,1.5
19,"DRG1,DRG21",0.0,6.5,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,1.0,1.0,1.0
20,"DRG1,DRG22",0.0,6.5,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,0.0,1.0,1.0
21,"DRG1,DRG23",0.0,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
22,"DRG1,DRG24",1.0,6.5,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
23,"DRG2,DRG3",6.5,0.0,0.0,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
24,"DRG2,DRG4",6.5,0.0,6.5,0.0,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
25,"DRG2,DRG5",0.0,0.0,1.5,1.5,0.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
26,"DRG2,DRG6",6.5,0.0,6.5,6.5,6.5,6.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
27,"DRG2,DRG7",0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
28,"DRG2,DRG8",5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
29,"DRG2,DRG9",4.5,0.0,4.5,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
30,"DRG2,DRG10",2.5,0.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
31,"DRG2,DRG11",5.0,0.0,5.0,5.0,5.0,5.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
32,"DRG2,DRG12",4.5,0.0,4.5,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
33,"DRG2,DRG13",2.5,0.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,1.0,1.0,1.0,1.0
34,"DRG2,DRG14",5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
35,"DRG2,DRG15",4.5,0.0,4.5,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
36,"DRG2,DRG16",2.5,0.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
37,"DRG2,DRG17",5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
38,"DRG2,DRG18",5.0,0.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
39,"DRG2,DRG19",6.5,1.0,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
40,"DRG2,DRG20",6.5,0.5,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,4.5,4.5,4.5,0.5,1.5,1.5,1.5,1.5,1.5
41,"DRG2,DRG21",6.5,0.0,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,1.0,1.0,1.0
42,"DRG2,DRG22",6.5,0.0,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,0.0,1.0,1.0
43,"DRG2,DRG23",2.5,0.0,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
44,"DRG2,DRG24",6.5,1.0,6.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
45,"DRG3,DRG4",6.5,6.5,0.0,0.0,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
46,"DRG3,DRG5",0.0,0.0,0.0,1.5,0.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
47,"DRG3,DRG6",6.5,6.5,0.0,6.5,6.5,6.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
48,"DRG3,DRG7",0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
49,"DRG3,DRG8",5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
50,"DRG3,DRG9",4.5,4.5,0.0,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
51,"DRG3,DRG10",2.5,2.5,0.0,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
52,"DRG3,DRG11",5.0,5.0,0.0,5.0,5.0,5.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
53,"DRG3,DRG12",4.5,4.5,0.0,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
54,"DRG3,DRG13",2.5,2.5,0.0,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,1.0,1.0,1.0,1.0
55,"DRG3,DRG14",5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
56,"DRG3,DRG15",4.5,4.5,0.0,4.5,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
57,"DRG3,DRG16",2.5,2.5,0.0,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
58,"DRG3,DRG17",5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
59,"DRG3,DRG18",5.0,5.0,0.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
60,"DRG3,DRG19",6.5,6.5,1.0,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
61,"DRG3,DRG20",6.5,6.5,0.5,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,4.5,4.5,4.5,0.5,1.5,1.5,1.5,1.5,1.5
62,"DRG3,DRG21",6.5,6.5,0.0,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,1.0,1.0,1.0
63,"DRG3,DRG22",6.5,6.5,0.0,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,0.0,1.0,1.0
64,"DRG3,DRG23",2.5,2.5,0.0,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
65,"DRG3,DRG24",6.5,6.5,1.0,6.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
66,"DRG4,DRG5",0.0,0.0,1.5,0.0,0.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
67,"DRG4,DRG6",6.5,6.5,6.5,0.0,6.5,6.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
68,"DRG4,DRG7",0.0,0.0,1.5,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
69,"DRG4,DRG8",5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
70,"DRG4,DRG9",4.5,4.5,4.5,0.0,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
71,"DRG4,DRG10",2.5,2.5,2.5,0.0,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
72,"DRG4,DRG11",5.0,5.0,5.0,0.0,5.0,5.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
73,"DRG4,DRG12",4.5,4.5,4.5,0.0,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
74,"DRG4,DRG13",2.5,2.5,2.5,0.0,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,1.0,1.0,1.0,1.0
75,"DRG4,DRG14",5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
76,"DRG4,DRG15",4.5,4.5,4.5,0.0,4.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
77,"DRG4,DRG16",2.5,2.5,2.5,0.0,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
78,"DRG4,DRG17",5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
79,"DRG4,DRG18",5.0,5.0,5.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
80,"DRG4,DRG19",6.5,6.5,6.5,1.0,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
81,"DRG4,DRG20",6.5,6.5,6.5,0.5,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,4.5,4.5,4.5,0.5,1.5,1.5,1.5,1.5,1.5
82,"DRG4,DRG21",6.5,6.5,6.5,0.0,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,1.0,1.0,1.0
83,"DRG4,DRG22",6.5,6.5,6.5,0.0,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,0.0,1.0,1.0
84,"DRG4,DRG23",2.5,2.5,2.5,0.0,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
85,"DRG4,DRG24",6.5,6.5,6.5,1.0,6.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
86,"DRG5,DRG6",0.0,0.0,0.0,1.5,0.0,6.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
87,"DRG5,DRG7",0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
88,"DRG5,DRG8",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
89,"DRG5,DRG9",0.0,0.0,1.5,1.5,0.0,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
90,"DRG5,DRG10",0.0,0.0,1.5,1.5,0.0,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
91,"DRG5,DRG11",0.0,0.0,0.0,0.0,0.0,5.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
92,"DRG5,DRG12",0.0,0.0,1.5,1.5,0.0,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
93,"DRG5,DRG13",0.0,0.0,1.5,1.5,0.0,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,1.0,1.0,1.0,1.0
94,"DRG5,DRG14",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
95,"DRG5,DRG15",0.0,0.0,1.5,1.5,0.0,4.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
96,"DRG5,DRG16",0.0,0.0,1.5,1.5,0.0,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
97,"DRG5,DRG17",0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
98,"DRG5,DRG18",0.0,0.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
99,"DRG5,DRG19",1.0,1.0,1.5,1.5,1.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
100,"DRG5,DRG20",0.5,0.5,1.5,1.5,0.5,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,4.5,4.5,4.5,0.5,1.5,1.5,1.5,1.5,1.5
101,"DRG5,DRG21",0.0,0.0,1.5,1.5,0.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,1.0,1.0,1.0
102,"DRG5,DRG22",0.0,0.0,1.5,1.5,0.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,0.0,1.0,1.0
103,"DRG5,DRG23",0.0,0.0,1.5,1.5,0.0,2.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
104,"DRG5,DRG24",1.0,1.0,1.5,1.5,1.0,6.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
105,"DRG6,DRG7",0.0,0.0,0.0,1.5,0.0,0.0,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
106,"DRG6,DRG8",5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
107,"DRG6,DRG9",4.5,4.5,4.5,4.5,4.5,4.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
108,"DRG6,DRG10",2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
109,"DRG6,DRG11",5.0,5.0,5.0,5.0,5.0,5.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
110,"DRG6,DRG12",4.5,4.5,4.5,4.5,4.5,4.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
111,"DRG6,DRG13",2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,3.5,0.5,1.0,1.0,1.0,1.0,1.0
112,"DRG6,DRG14",5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
113,"DRG6,DRG15",4.5,4.5,4.5,4.5,4.5,4.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
114,"DRG6,DRG16",2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0
115,"DRG6,DRG17",5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
116,"DRG6,DRG18",5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
117,"DRG6,DRG19",6.5,6.5,6.5,6.5,6.5,6.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
118,"DRG6,DRG20",6.5,6.5,6.5,6.5,6.5,6.5,1.5,0.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,4.5,4.5,4.5,0.5,1.5,1.5,1.5,1.5,1.5
119,"DRG6,DRG21",6.5,6.5,6.5,6.5,6.5,6.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,1.0,1.0,1.0
120,"DRG6,DRG22",6.5,6.5,6.5,6.5,6.5,6.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,0.0,0.0,0.0,1.0,1.0
121,"DRG6,DRG23",2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
122,"DRG6,DRG24",6.5,6.5,6.5,6.5,6.5,6.5,1.5,1.0,1.5,1.5,1.5,1.5,1.0,1.0,1.0,3.5,3.5,3.5,1.5,1.0,1.0,1.0,1.0,1.0
123,"DRG7,DRG8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
124,"DRG7,DRG9",0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
125,"DRG7,DRG10",0.0,0.0,1.5,1.5,0.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
126,"DRG7,DRG11",0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,3.5,3.5,3.5,0.5,1.0,1.0,1.0,1.0,1.0
