,drug vector,probabilistic score
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,0.730554361839278
2,0 0 0 0 0 1 0,1.9338203695745595
3,0 0 0 0 0 1 1,1.9338203695745595
4,0 0 0 0 1 0 0,14.52513966480447
5,0 0 0 0 1 0 1,15.427589170605929
6,0 0 0 0 1 1 0,16.974645466265578
7,0 0 0 0 1 1 1,16.974645466265578
8,0 0 0 1 0 0 0,49.03308981521272
9,0 0 0 1 0 0 1,49.93553932101418
10,0 0 0 1 0 1 0,51.482595616673834
11,0 0 0 1 0 1 1,51.482595616673834
12,0 0 0 1 1 0 0,68.6291362269016
13,0 0 0 1 1 0 1,70.99269445638161
14,0 0 0 1 1 1 0,74.43059733562527
15,0 0 0 1 1 1 1,74.43059733562527
16,0 0 1 0 0 0 0,7.907176622260422
17,0 0 1 0 0 0 1,8.723678556080792
18,0 0 1 0 0 1 0,10.098839707778255
19,0 0 1 0 0 1 1,10.098839707778255
20,0 0 1 0 1 0 0,21.01418134937688
21,0 0 1 0 1 0 1,22.002578427159435
22,0 0 1 0 1 1 0,23.721529866781264
23,0 0 1 0 1 1 1,23.721529866781264
24,0 0 1 1 0 0 0,51.69746454662656
25,0 0 1 1 0 0 1,52.685861624409114
26,0 0 1 1 0 1 0,54.40481306403095
27,0 0 1 1 0 1 1,54.40481306403095
28,0 0 1 1 1 0 0,69.27374301675978
29,0 0 1 1 1 0 1,71.50837988826815
30,0 0 1 1 1 1 0,74.86033519553072
31,0 0 1 1 1 1 1,74.86033519553072
32,0 1 0 0 0 0 0,16.373012462397938
33,0 1 0 0 0 0 1,17.275461968199398
34,0 1 0 0 0 1 0,18.822518263859045
35,0 1 0 0 0 1 1,18.822518263859045
36,0 1 0 0 1 0 0,27.932960893854748
37,0 1 0 0 1 0 1,29.007305543618394
38,0 1 0 0 1 1 0,30.898152127202405
39,0 1 0 0 1 1 1,30.898152127202405
40,0 1 0 1 0 0 0,54.57670820799312
41,0 1 0 1 0 0 1,55.65105285775677
42,0 1 0 1 0 1 0,57.54189944134078
43,0 1 0 1 0 1 1,57.54189944134078
44,0 1 0 1 1 0 0,69.91834980661797
45,0 1 0 1 1 0 1,72.0240653201547
46,0 1 0 1 1 1 0,75.29007305543618
47,0 1 0 1 1 1 1,75.29007305543618
48,0 1 1 0 0 0 0,25.39750752041255
49,0 1 1 0 0 0 1,26.385904598195104
50,0 1 1 0 0 1 0,28.104856037816933
51,0 1 1 0 0 1 1,28.104856037816933
52,0 1 1 0 1 0 0,35.28147829823807
53,0 1 1 0 1 0 1,36.44177051998281
54,0 1 1 0 1 1 0,38.50451224752901
55,0 1 1 0 1 1 1,38.50451224752901
56,0 1 1 1 0 0 0,57.670820799312416
57,0 1 1 1 0 0 1,58.831113021057156
58,0 1 1 1 0 1 0,60.893854748603346
59,0 1 1 1 0 1 1,60.893854748603346
60,0 1 1 1 1 0 0,70.56295659647614
61,0 1 1 1 1 0 1,72.53975075204126
62,0 1 1 1 1 1 0,75.71981091534164
63,0 1 1 1 1 1 1,75.71981091534164
64,1 0 0 0 0 0 0,25.39750752041255
65,1 0 0 0 0 0 1,26.385904598195104
66,1 0 0 0 0 1 0,28.104856037816933
67,1 0 0 0 0 1 1,28.104856037816933
