,drug vector,probabilistic score
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,1.5625
2,0 0 0 0 0 1 0,4.6875
3,0 0 0 0 0 1 1,4.6875
4,0 0 0 0 1 0 0,18.75
5,0 0 0 0 1 0 1,20.3125
6,0 0 0 0 1 1 0,23.4375
7,0 0 0 0 1 1 1,23.4375
8,0 0 0 1 0 0 0,48.4375
9,0 0 0 1 0 0 1,50.0
10,0 0 0 1 0 1 0,53.125
11,0 0 0 1 0 1 1,53.125
12,0 0 0 1 1 0 0,76.5625
13,0 0 0 1 1 0 1,78.125
14,0 0 0 1 1 1 0,81.25
15,0 0 0 1 1 1 1,81.25
16,0 0 1 0 0 0 0,10.15625
17,0 0 1 0 0 0 1,11.71875
18,0 0 1 0 0 1 0,14.84375
19,0 0 1 0 0 1 1,14.84375
20,0 0 1 0 1 0 0,26.5625
21,0 0 1 0 1 0 1,28.125
22,0 0 1 0 1 1 0,31.25
23,0 0 1 0 1 1 1,31.25
24,0 0 1 1 0 0 0,52.34375
25,0 0 1 1 0 0 1,53.90625
26,0 0 1 1 0 1 0,57.03125
27,0 0 1 1 0 1 1,57.03125
28,0 0 1 1 1 0 0,76.5625
29,0 0 1 1 1 0 1,78.125
30,0 0 1 1 1 1 0,81.25
31,0 0 1 1 1 1 1,81.25
32,0 1 0 0 0 0 0,20.3125
33,0 1 0 0 0 0 1,21.875
34,0 1 0 0 0 1 0,25.0
35,0 1 0 0 0 1 1,25.0
36,0 1 0 0 1 0 0,34.375
37,0 1 0 0 1 0 1,35.9375
38,0 1 0 0 1 1 0,39.0625
39,0 1 0 0 1 1 1,39.0625
40,0 1 0 1 0 0 0,56.25
41,0 1 0 1 0 0 1,57.8125
42,0 1 0 1 0 1 0,60.9375
43,0 1 0 1 0 1 1,60.9375
44,0 1 0 1 1 0 0,76.5625
45,0 1 0 1 1 0 1,78.125
46,0 1 0 1 1 1 0,81.25
47,0 1 0 1 1 1 1,81.25
48,0 1 1 0 0 0 0,30.46875
49,0 1 1 0 0 0 1,32.03125
50,0 1 1 0 0 1 0,35.15625
51,0 1 1 0 0 1 1,35.15625
52,0 1 1 0 1 0 0,42.1875
53,0 1 1 0 1 0 1,43.75
54,0 1 1 0 1 1 0,46.875
55,0 1 1 0 1 1 1,46.875
56,0 1 1 1 0 0 0,60.15625
57,0 1 1 1 0 0 1,61.71875
58,0 1 1 1 0 1 0,64.84375
59,0 1 1 1 0 1 1,64.84375
60,0 1 1 1 1 0 0,76.5625
61,0 1 1 1 1 0 1,78.125
62,0 1 1 1 1 1 0,81.25
63,0 1 1 1 1 1 1,81.25
64,1 0 0 0 0 0 0,30.46875
65,1 0 0 0 0 0 1,32.03125
66,1 0 0 0 0 1 0,35.15625
67,1 0 0 0 0 1 1,35.15625
68,1 0 0 0 1 0 0,42.1875
69,1 0 0 0 1 0 1,43.75
70,1 0 0 0 1 1 0,46.875
71,1 0 0 0 1 1 1,46.875
72,1 0 0 1 0 0 0,60.15625
73,1 0 0 1 0 0 1,61.71875
74,1 0 0 1 0 1 0,64.84375
75,1 0 0 1 0 1 1,64.84375
76,1 0 0 1 1 0 0,76.5625
77,1 0 0 1 1 0 1,78.125
78,1 0 0 1 1 1 0,81.25
79,1 0 0 1 1 1 1,81.25
80,1 0 1 0 0 0 0,40.625
81,1 0 1 0 0 0 1,42.1875
82,1 0 1 0 0 1 0,45.3125
83,1 0 1 0 0 1 1,45.3125
84,1 0 1 0 1 0 0,50.0
85,1 0 1 0 1 0 1,51.5625
86,1 0 1 0 1 1 0,54.6875
87,1 0 1 0 1 1 1,54.6875
88,1 0 1 1 0 0 0,64.0625
89,1 0 1 1 0 0 1,65.625
90,1 0 1 1 0 1 0,68.75
91,1 0 1 1 0 1 1,68.75
92,1 0 1 1 1 0 0,76.5625
93,1 0 1 1 1 0 1,78.125
94,1 0 1 1 1 1 0,81.25
95,1 0 1 1 1 1 1,81.25
96,1 1 0 0 0 0 0,30.46875
97,1 1 0 0 0 0 1,32.03125
98,1 1 0 0 0 1 0,35.15625
99,1 1 0 0 0 1 1,35.15625
100,1 1 0 0 1 0 0,42.1875
101,1 1 0 0 1 0 1,43.75
102,1 1 0 0 1 1 0,46.875
103,1 1 0 0 1 1 1,46.875
104,1 1 0 1 0 0 0,60.15625
105,1 1 0 1 0 0 1,61.71875
106,1 1 0 1 0 1 0,64.84375
107,1 1 0 1 0 1 1,64.84375
108,1 1 0 1 1 0 0,76.5625
109,1 1 0 1 1 0 1,78.125
110,1 1 0 1 1 1 0,81.25
111,1 1 0 1 1 1 1,81.25
112,1 1 1 0 0 0 0,40.625
113,1 1 1 0 0 0 1,42.1875
114,1 1 1 0 0 1 0,45.3125
115,1 1 1 0 0 1 1,45.3125
116,1 1 1 0 1 0 0,50.0
117,1 1 1 0 1 0 1,51.5625
118,1 1 1 0 1 1 0,54.6875
119,1 1 1 0 1 1 1,54.6875
120,1 1 1 1 0 0 0,64.0625
121,1 1 1 1 0 0 1,65.625
122,1 1 1 1 0 1 0,68.75
123,1 1 1 1 0 1 1,68.75
124,1 1 1 1 1 0 0,76.5625
125,1 1 1 1 1 0 1,78.125
126,1 1 1 1 1 1 0,81.25
127,1 1 1 1 1 1 1,81.25
