,drug vector,condensed weight
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,-8.0
2,0 0 0 0 0 1 0,6.0
3,0 0 0 0 0 1 1,6.0
4,0 0 0 0 1 0 0,18.0
5,0 0 0 0 1 0 1,14.000000000000002
6,0 0 0 0 1 1 0,24.0
7,0 0 0 0 1 1 1,24.0
8,0 0 0 1 0 0 0,61.0
9,0 0 0 1 0 0 1,41.0
10,0 0 0 1 0 1 0,67.0
11,0 0 0 1 0 1 1,67.0
12,0 0 0 1 1 0 0,79.0
13,0 0 0 1 1 0 1,75.0
14,0 0 0 1 1 1 0,85.0
15,0 0 0 1 1 1 1,85.0
16,0 0 1 0 0 0 0,10.5
17,0 0 1 0 0 0 1,2.5
18,0 0 1 0 0 1 0,16.5
19,0 0 1 0 0 1 1,16.5
20,0 0 1 0 1 0 0,26.0
21,0 0 1 0 1 0 1,22.0
22,0 0 1 0 1 1 0,32.0
23,0 0 1 0 1 1 1,32.0
24,0 0 1 1 0 0 0,63.5
25,0 0 1 1 0 0 1,45.5
26,0 0 1 1 0 1 0,69.5
27,0 0 1 1 0 1 1,69.5
28,0 0 1 1 1 0 0,79.0
29,0 0 1 1 1 0 1,75.0
30,0 0 1 1 1 1 0,85.0
31,0 0 1 1 1 1 1,85.0
32,0 1 0 0 0 0 0,21.0
33,0 1 0 0 0 0 1,13.0
34,0 1 0 0 0 1 0,27.0
35,0 1 0 0 0 1 1,27.0
36,0 1 0 0 1 0 0,34.0
37,0 1 0 0 1 0 1,30.0
38,0 1 0 0 1 1 0,40.0
39,0 1 0 0 1 1 1,40.0
40,0 1 0 1 0 0 0,66.0
41,0 1 0 1 0 0 1,50.0
42,0 1 0 1 0 1 0,72.0
43,0 1 0 1 0 1 1,72.0
44,0 1 0 1 1 0 0,79.0
45,0 1 0 1 1 0 1,75.0
46,0 1 0 1 1 1 0,85.0
47,0 1 0 1 1 1 1,85.0
48,0 1 1 0 0 0 0,31.5
49,0 1 1 0 0 0 1,23.5
50,0 1 1 0 0 1 0,37.5
51,0 1 1 0 0 1 1,37.5
52,0 1 1 0 1 0 0,42.0
53,0 1 1 0 1 0 1,38.0
54,0 1 1 0 1 1 0,48.0
55,0 1 1 0 1 1 1,48.0
56,0 1 1 1 0 0 0,68.5
57,0 1 1 1 0 0 1,54.50000000000001
58,0 1 1 1 0 1 0,74.5
59,0 1 1 1 0 1 1,74.5
60,0 1 1 1 1 0 0,79.0
61,0 1 1 1 1 0 1,75.0
62,0 1 1 1 1 1 0,85.0
63,0 1 1 1 1 1 1,85.0
64,1 0 0 0 0 0 0,31.5
65,1 0 0 0 0 0 1,23.5
66,1 0 0 0 0 1 0,37.5
67,1 0 0 0 0 1 1,37.5
68,1 0 0 0 1 0 0,42.0
69,1 0 0 0 1 0 1,38.0
70,1 0 0 0 1 1 0,48.0
71,1 0 0 0 1 1 1,48.0
72,1 0 0 1 0 0 0,68.5
73,1 0 0 1 0 0 1,54.50000000000001
74,1 0 0 1 0 1 0,74.5
75,1 0 0 1 0 1 1,74.5
76,1 0 0 1 1 0 0,79.0
77,1 0 0 1 1 0 1,75.0
78,1 0 0 1 1 1 0,85.0
79,1 0 0 1 1 1 1,85.0
80,1 0 1 0 0 0 0,42.0
81,1 0 1 0 0 0 1,34.0
82,1 0 1 0 0 1 0,48.0
83,1 0 1 0 0 1 1,48.0
84,1 0 1 0 1 0 0,50.0
85,1 0 1 0 1 0 1,46.0
86,1 0 1 0 1 1 0,56.00000000000001
87,1 0 1 0 1 1 1,56.00000000000001
88,1 0 1 1 0 0 0,71.0
89,1 0 1 1 0 0 1,59.0
90,1 0 1 1 0 1 0,77.0
91,1 0 1 1 0 1 1,77.0
92,1 0 1 1 1 0 0,79.0
93,1 0 1 1 1 0 1,75.0
94,1 0 1 1 1 1 0,85.0
95,1 0 1 1 1 1 1,85.0
96,1 1 0 0 0 0 0,31.5
97,1 1 0 0 0 0 1,23.5
98,1 1 0 0 0 1 0,37.5
99,1 1 0 0 0 1 1,37.5
100,1 1 0 0 1 0 0,42.0
101,1 1 0 0 1 0 1,38.0
102,1 1 0 0 1 1 0,48.0
103,1 1 0 0 1 1 1,48.0
104,1 1 0 1 0 0 0,68.5
105,1 1 0 1 0 0 1,54.50000000000001
106,1 1 0 1 0 1 0,74.5
107,1 1 0 1 0 1 1,74.5
108,1 1 0 1 1 0 0,79.0
109,1 1 0 1 1 0 1,75.0
110,1 1 0 1 1 1 0,85.0
111,1 1 0 1 1 1 1,85.0
112,1 1 1 0 0 0 0,42.0
113,1 1 1 0 0 0 1,34.0
114,1 1 1 0 0 1 0,48.0
115,1 1 1 0 0 1 1,48.0
116,1 1 1 0 1 0 0,50.0
117,1 1 1 0 1 0 1,46.0
118,1 1 1 0 1 1 0,56.00000000000001
119,1 1 1 0 1 1 1,56.00000000000001
120,1 1 1 1 0 0 0,71.0
121,1 1 1 1 0 0 1,59.0
122,1 1 1 1 0 1 0,77.0
123,1 1 1 1 0 1 1,77.0
124,1 1 1 1 1 0 0,79.0
125,1 1 1 1 1 0 1,75.0
126,1 1 1 1 1 1 0,85.0
127,1 1 1 1 1 1 1,85.0
