,drug vector,condensed weight
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,-3.9296321681517017
2,0 0 0 0 0 1 0,4.660726525017135
3,0 0 0 0 0 1 1,4.660726525017135
4,0 0 0 0 1 0 0,15.946995659127255
5,0 0 0 0 1 0 1,13.845099383139136
6,0 0 0 0 1 1 0,20.607722184144393
7,0 0 0 0 1 1 1,20.607722184144393
8,0 0 0 1 0 0 0,57.779300891021244
9,0 0 0 1 0 0 1,43.248800548320766
10,0 0 0 1 0 1 0,64.63331048663467
11,0 0 0 1 0 1 1,64.63331048663467
12,0 0 0 1 1 0 0,72.94950879597899
13,0 0 0 1 1 0 1,69.52250399817227
14,0 0 0 1 1 1 0,81.03724011880283
15,0 0 0 1 1 1 1,81.03724011880283
16,0 0 1 0 0 0 0,8.384738405300434
17,0 0 1 0 0 0 1,4.0895590587160155
18,0 0 1 0 0 1 0,13.319625314142106
19,0 0 1 0 0 1 1,13.319625314142106
20,0 0 1 0 1 0 0,22.52684487091615
21,0 0 1 0 1 0 1,20.242175005711672
22,0 0 1 0 1 1 0,27.461731779757827
23,0 0 1 0 1 1 1,27.461731779757827
24,0 0 1 1 0 0 0,59.85835046835732
25,0 0 1 1 0 0 1,46.3787982636509
26,0 0 1 1 0 1 0,66.71236006397075
27,0 0 1 1 0 1 1,66.71236006397075
28,0 0 1 1 1 0 0,73.33790267306374
29,0 0 1 1 1 0 1,69.88805117660498
30,0 0 1 1 1 1 0,81.2200137080192
31,0 0 1 1 1 1 1,81.2200137080192
32,0 1 0 0 0 0 0,17.24925748229381
33,0 1 0 0 0 0 1,12.588530957276673
34,0 1 0 0 0 1 0,22.45830477496002
35,0 1 0 0 0 1 1,22.45830477496002
36,0 1 0 0 1 0 0,29.472241261137768
37,0 1 0 0 1 0 1,27.00479780671693
38,0 1 0 0 1 1 0,34.681288553803974
39,0 1 0 0 1 1 1,34.681288553803974
40,0 1 0 1 0 0 0,62.051633538953624
41,0 1 0 1 0 0 1,49.71441626684944
42,0 1 0 1 0 1 0,68.90564313456706
43,0 1 0 1 0 1 1,68.90564313456706
44,0 1 0 1 1 0 0,73.7262965501485
45,0 1 0 1 1 0 1,70.2535983550377
46,0 1 0 1 1 1 0,81.40278729723555
47,0 1 0 1 1 1 1,81.40278729723555
48,0 1 1 0 0 0 0,26.593557230980124
49,0 1 1 0 0 0 1,21.56728352753027
50,0 1 1 0 0 1 0,32.076764907470874
51,0 1 1 0 0 1 1,32.076764907470874
52,0 1 1 0 1 0 0,36.78318482979209
53,0 1 1 0 1 0 1,34.1329677861549
54,0 1 1 0 1 1 0,42.26639250628284
55,0 1 1 0 1 1 1,42.26639250628284
56,0 1 1 1 0 0 0,64.35915010281015
57,0 1 1 1 0 0 1,53.25565455791638
58,0 1 1 1 0 1 0,71.21315969842358
59,0 1 1 1 0 1 1,71.21315969842358
60,0 1 1 1 1 0 0,74.11469042723327
61,0 1 1 1 1 0 1,70.61914553347042
62,0 1 1 1 1 1 0,81.5855608864519
63,0 1 1 1 1 1 1,81.5855608864519
64,1 0 0 0 0 0 0,26.593557230980124
65,1 0 0 0 0 0 1,21.56728352753027
66,1 0 0 0 0 1 0,32.076764907470874
67,1 0 0 0 0 1 1,32.076764907470874
68,1 0 0 0 1 0 0,36.78318482979209
69,1 0 0 0 1 0 1,34.1329677861549
70,1 0 0 0 1 1 0,42.26639250628284
71,1 0 0 0 1 1 1,42.26639250628284
72,1 0 0 1 0 0 0,64.35915010281015
73,1 0 0 1 0 0 1,53.25565455791638
74,1 0 0 1 0 1 0,71.21315969842358
75,1 0 0 1 0 1 1,71.21315969842358
76,1 0 0 1 1 0 0,74.11469042723327
77,1 0 0 1 1 0 1,70.61914553347042
78,1 0 0 1 1 1 0,81.5855608864519
79,1 0 0 1 1 1 1,81.5855608864519
80,1 0 1 0 0 0 0,36.41763765135938
81,1 0 1 0 0 0 1,31.025816769476812
82,1 0 1 0 0 1 0,42.175005711674665
83,1 0 1 0 0 1 1,42.175005711674665
84,1 0 1 0 1 0 0,44.45967557687914
85,1 0 1 0 1 0 1,41.62668494402559
86,1 0 1 0 1 1 0,50.21704363719442
87,1 0 1 0 1 1 1,50.21704363719442
88,1 0 1 1 0 0 0,66.78090015992689
89,1 0 1 1 0 0 1,57.00251313685173
90,1 0 1 1 0 1 0,73.63490975554032
91,1 0 1 1 0 1 1,73.63490975554032
92,1 0 1 1 1 0 0,74.50308430431802
93,1 0 1 1 1 0 1,70.98469271190314
94,1 0 1 1 1 1 0,81.76833447566827
95,1 0 1 1 1 1 1,81.76833447566827
96,1 1 0 0 0 0 0,26.593557230980124
97,1 1 0 0 0 0 1,21.56728352753027
98,1 1 0 0 0 1 0,32.076764907470874
99,1 1 0 0 0 1 1,32.076764907470874
100,1 1 0 0 1 0 0,36.78318482979209
101,1 1 0 0 1 0 1,34.1329677861549
102,1 1 0 0 1 1 0,42.26639250628284
103,1 1 0 0 1 1 1,42.26639250628284
104,1 1 0 1 0 0 0,64.35915010281015
105,1 1 0 1 0 0 1,53.25565455791638
106,1 1 0 1 0 1 0,71.21315969842358
107,1 1 0 1 0 1 1,71.21315969842358
108,1 1 0 1 1 0 0,74.11469042723327
109,1 1 0 1 1 0 1,70.61914553347042
110,1 1 0 1 1 1 0,81.5855608864519
111,1 1 0 1 1 1 1,81.5855608864519
112,1 1 1 0 0 0 0,36.41763765135938
113,1 1 1 0 0 0 1,31.025816769476812
114,1 1 1 0 0 1 0,42.175005711674665
115,1 1 1 0 0 1 1,42.175005711674665
116,1 1 1 0 1 0 0,44.45967557687914
117,1 1 1 0 1 0 1,41.62668494402559
118,1 1 1 0 1 1 0,50.21704363719442
119,1 1 1 0 1 1 1,50.21704363719442
120,1 1 1 1 0 0 0,66.78090015992689
121,1 1 1 1 0 0 1,57.00251313685173
122,1 1 1 1 0 1 0,73.63490975554032
