,Drug Vector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
110,1 1 0 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
111,1 1 0 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
112,1 1 1 0 0 0 0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
113,1 1 1 0 0 0 1,0.0,0.0,0.0,0.0,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
114,1 1 1 0 0 1 0,0.0,0.0,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
115,1 1 1 0 0 1 1,0.0,0.0,0.0,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
116,1 1 1 0 1 0 0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
117,1 1 1 0 1 0 1,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
118,1 1 1 0 1 1 0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
119,1 1 1 0 1 1 1,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
120,1 1 1 1 0 0 0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
121,1 1 1 1 0 0 1,0.0,0.0,0.0,0.0,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
122,1 1 1 1 0 1 0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
123,1 1 1 1 0 1 1,0.0,0.0,0.0,0.0,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
124,1 1 1 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
125,1 1 1 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
126,1 1 1 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
127,1 1 1 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
