,Drug Vector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
25,0 0 1 1 0 0 1,4.5,4.5,0.0,4.5,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
26,0 0 1 1 0 1 0,2.5,2.5,0.0,2.5,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
27,0 0 1 1 0 1 1,2.5,2.5,0.0,2.5,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
28,0 0 1 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
29,0 0 1 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
30,0 0 1 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
31,0 0 1 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
32,0 1 0 0 0 0 0,0.0,10.5,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
33,0 1 0 0 0 0 1,0.0,10.5,10.5,0.0,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
34,0 1 0 0 0 1 0,0.0,10.5,10.5,0.0,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
