,drug vector,condensed weight
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,-0.8387638530135793
2,0 0 0 0 0 1 0,1.9610535154965372
3,0 0 0 0 0 1 1,1.9610535154965372
4,0 0 0 0 1 0 0,11.661914629357053
5,0 0 0 0 1 0 1,11.160316603820576
6,0 0 0 0 1 1 0,13.814539637738307
7,0 0 0 0 1 1 1,13.814539637738307
8,0 0 0 1 0 0 0,52.170983943116035
9,0 0 0 1 0 0 1,44.272172005657744
10,0 0 0 1 0 1 0,59.10778770047158
11,0 0 0 1 0 1 1,59.10778770047158
12,0 0 0 1 1 0 0,62.44975239384545
13,0 0 0 1 1 0 1,59.90632153997938
14,0 0 0 1 1 1 0,72.24863425489865
15,0 0 0 1 1 1 1,72.24863425489865
16,0 0 1 0 0 0 0,4.888904498417939
17,0 0 1 0 0 0 1,3.77715126804364
18,0 0 1 0 0 1 0,7.317711742374657
19,0 0 1 0 0 1 1,7.317711742374657
20,0 0 1 0 1 0 0,15.749731001695407
21,0 0 1 0 1 0 1,15.093279352743782
22,0 0 1 0 1 1 0,18.38926688782531
23,0 0 1 0 1 1 1,18.38926688782531
24,0 0 1 1 0 0 0,53.345955766142296
25,0 0 1 1 0 0 1,45.70736177318574
26,0 0 1 1 0 1 0,60.39291313190655
27,0 0 1 1 0 1 1,60.39291313190655
28,0 0 1 1 1 0 0,62.97018828284892
29,0 0 1 1 1 0 1,60.409515994623234
30,0 0 1 1 1 1 0,72.57941436594625
31,0 0 1 1 1 1 1,72.57941436594625
32,0 1 0 0 0 0 0,10.733750746330607
33,0 1 0 0 0 0 1,9.29409097730197
34,0 1 0 0 0 1 0,13.695446026328309
35,0 1 0 0 0 1 1,13.695446026328309
36,0 1 0 0 1 0 0,20.612454062752438
37,0 1 0 0 1 0 1,19.77177449481001
38,0 1 0 0 1 1 0,23.804035134211794
39,0 1 0 0 1 1 1,23.804035134211794
40,0 1 0 1 0 0 0,54.75751838288117
